Date,DailyBirth
1/1/19,36
1/2/19,93
1/3/19,8
1/4/19,50
1/5/19,7
1/6/19,25
1/7/19,65
1/8/19,48
1/9/19,19
1/10/19,73
1/11/19,47
1/12/19,4
1/13/19,14
1/14/19,10
1/15/19,62
1/16/19,19
1/17/19,97
1/18/19,7
1/19/19,9
1/20/19,61
1/21/19,30
1/22/19,38
1/23/19,21
1/24/19,66
1/25/19,67
1/26/19,19
1/27/19,97
1/28/19,81
1/29/19,88
1/30/19,62
1/31/19,81
2/1/19,6
2/2/19,40
2/3/19,41
2/4/19,90
2/5/19,11
2/6/19,37
2/7/19,26
2/8/19,72
2/9/19,20
2/10/19,98
2/11/19,47
2/12/19,45
2/13/19,62
2/14/19,10
2/15/19,89
2/16/19,31
2/17/19,35
2/18/19,80
2/19/19,2
2/20/19,17
2/21/19,36
2/22/19,51
2/23/19,33
2/24/19,64
2/25/19,90
2/26/19,91
2/27/19,49
2/28/19,16
3/1/19,17
3/2/19,57
3/3/19,65
3/4/19,22
3/5/19,15
3/6/19,47
3/7/19,56
3/8/19,35
3/9/19,7
3/10/19,28
3/11/19,17
3/12/19,7
3/13/19,98
3/14/19,77
3/15/19,49
3/16/19,87
3/17/19,33
3/18/19,30
3/19/19,71
3/20/19,25
3/21/19,38
3/22/19,65
3/23/19,93
3/24/19,2
3/25/19,87
3/26/19,58
3/27/19,56
3/28/19,65
3/29/19,69
3/30/19,48
3/31/19,7
4/1/19,22
4/2/19,1
4/3/19,84
4/4/19,89
4/5/19,74
4/6/19,59
4/7/19,56
4/8/19,29
4/9/19,70
4/10/19,84
4/11/19,64
4/12/19,40
4/13/19,94
4/14/19,0
4/15/19,39
4/16/19,12
4/17/19,16
4/18/19,87
4/19/19,12
4/20/19,14
4/21/19,80
4/22/19,58
4/23/19,2
4/24/19,0
4/25/19,80
4/26/19,86
4/27/19,93
4/28/19,93
4/29/19,25
4/30/19,57
5/1/19,59
5/2/19,51
5/3/19,58
5/4/19,3
5/5/19,60
5/6/19,42
5/7/19,10
5/8/19,53
5/9/19,98
5/10/19,50
5/11/19,39
5/12/19,93
5/13/19,51
5/14/19,90
5/15/19,92
5/16/19,32
5/17/19,92
5/18/19,85
5/19/19,63
5/20/19,96
5/21/19,9
5/22/19,30
5/23/19,51
5/24/19,59
5/25/19,5
5/26/19,78
5/27/19,46
5/28/19,12
5/29/19,4
5/30/19,13
5/31/19,92
6/1/19,55
6/2/19,25
6/3/19,22
6/4/19,99
6/5/19,22
6/6/19,52
6/7/19,13
6/8/19,75
6/9/19,21
6/10/19,55
6/11/19,39
6/12/19,37
6/13/19,46
6/14/19,40
6/15/19,46
6/16/19,82
6/17/19,9
6/18/19,0
6/19/19,26
6/20/19,81
6/21/19,80
6/22/19,37
6/23/19,5
6/24/19,97
6/25/19,50
6/26/19,11
6/27/19,66
6/28/19,42
6/29/19,39
6/30/19,37
7/1/19,57
7/2/19,55
7/3/19,71
7/4/19,51
7/5/19,20
7/6/19,77
7/7/19,80
7/8/19,71
7/9/19,9
7/10/19,87
7/11/19,38
7/12/19,2
7/13/19,47
7/14/19,61
7/15/19,26
7/16/19,93
7/17/19,70
7/18/19,62
7/19/19,88
7/20/19,91
7/21/19,68
7/22/19,20
7/23/19,65
7/24/19,99
7/25/19,25
7/26/19,53
7/27/19,61
7/28/19,38
7/29/19,24
7/30/19,91
7/31/19,68
8/1/19,95
8/2/19,53
8/3/19,56
8/4/19,47
8/5/19,11
8/6/19,4
8/7/19,47
8/8/19,78
8/9/19,21
8/10/19,39
8/11/19,57
8/12/19,71
8/13/19,87
8/14/19,83
8/15/19,23
8/16/19,67
8/17/19,2
8/18/19,94
8/19/19,88
8/20/19,24
8/21/19,21
8/22/19,98
8/23/19,39
8/24/19,6
8/25/19,26
8/26/19,91
8/27/19,46
8/28/19,76
8/29/19,44
8/30/19,85
8/31/19,84
9/1/19,84
9/2/19,70
9/3/19,19
9/4/19,75
9/5/19,82
9/6/19,36
9/7/19,60
9/8/19,60
9/9/19,37
9/10/19,92
9/11/19,74
9/12/19,51
9/13/19,40
9/14/19,53
9/15/19,64
9/16/19,35
9/17/19,53
9/18/19,20
9/19/19,32
9/20/19,58
9/21/19,98
9/22/19,41
9/23/19,26
9/24/19,4
9/25/19,11
9/26/19,0
9/27/19,33
9/28/19,25
9/29/19,14
9/30/19,18
10/1/19,72
10/2/19,69
10/3/19,33
10/4/19,74
10/5/19,53
10/6/19,32
10/7/19,94
10/8/19,15
10/9/19,19
10/10/19,73
10/11/19,88
10/12/19,67
10/13/19,29
10/14/19,86
10/15/19,59
10/16/19,25
10/17/19,35
10/18/19,80
10/19/19,51
10/20/19,75
10/21/19,92
10/22/19,6
10/23/19,24
10/24/19,73
10/25/19,75
10/26/19,32
10/27/19,52
10/28/19,68
10/29/19,13
10/30/19,59
10/31/19,20
11/1/19,0
11/2/19,18
11/3/19,32
11/4/19,36
11/5/19,94
11/6/19,5
11/7/19,18
11/8/19,17
11/9/19,20
11/10/19,88
11/11/19,73
11/12/19,12
11/13/19,7
11/14/19,1
11/15/19,78
11/16/19,57
11/17/19,56
11/18/19,80
11/19/19,18
11/20/19,18
11/21/19,87
11/22/19,82
11/23/19,67
11/24/19,45
11/25/19,71
11/26/19,80
11/27/19,48
11/28/19,65
11/29/19,76
11/30/19,33
12/1/19,19
12/2/19,97
12/3/19,46
12/4/19,34
12/5/19,45
12/6/19,9
12/7/19,18
12/8/19,76
12/9/19,99
12/10/19,14
12/11/19,51
12/12/19,97
12/13/19,23
12/14/19,95
12/15/19,60
12/16/19,73
12/17/19,64
12/18/19,72
12/19/19,35
12/20/19,26
12/21/19,5
12/22/19,12
12/23/19,64
12/24/19,30
12/25/19,30
12/26/19,49
12/27/19,76
12/28/19,51
12/29/19,86
12/30/19,52
12/31/19,56
1/1/20,48
1/2/20,71
1/3/20,12
1/4/20,92
1/5/20,7
1/6/20,79
1/7/20,79
1/8/20,47
1/9/20,7
1/10/20,5
1/11/20,11
1/12/20,71
1/13/20,52
1/14/20,26
1/15/20,67
1/16/20,21
1/17/20,16
1/18/20,55
1/19/20,57
1/20/20,85
1/21/20,68
1/22/20,88
1/23/20,15
1/24/20,90
1/25/20,6
1/26/20,77
1/27/20,20
1/28/20,60
1/29/20,74
1/30/20,33
1/31/20,55
2/1/20,8
2/2/20,10
2/3/20,29
2/4/20,88
2/5/20,41
2/6/20,80
2/7/20,30
2/8/20,33
2/9/20,71
2/10/20,3
2/11/20,32
2/12/20,98
2/13/20,24
2/14/20,90
2/15/20,12
2/16/20,2
2/17/20,75
2/18/20,46
2/19/20,25
2/20/20,4
2/21/20,100
2/22/20,30
2/23/20,14
2/24/20,65
2/25/20,59
2/26/20,27
2/27/20,15
2/28/20,87
2/29/20,19
3/1/20,23
3/2/20,83
3/3/20,55
3/4/20,32
3/5/20,87
3/6/20,29
3/7/20,99
3/8/20,31
3/9/20,38
3/10/20,57
3/11/20,74
3/12/20,83
3/13/20,23
3/14/20,83
3/15/20,99
3/16/20,68
3/17/20,67
3/18/20,72
3/19/20,50
3/20/20,18
3/21/20,41
3/22/20,22
3/23/20,1
3/24/20,99
3/25/20,46
3/26/20,5
3/27/20,62
3/28/20,12
3/29/20,87
3/30/20,90
3/31/20,29
4/1/20,90
4/2/20,47
4/3/20,1
4/4/20,63
4/5/20,7
4/6/20,62
4/7/20,12
4/8/20,26
4/9/20,63
4/10/20,93
4/11/20,70
4/12/20,33
4/13/20,1
4/14/20,4
4/15/20,43
4/16/20,17
4/17/20,14
4/18/20,30
4/19/20,25
4/20/20,9
4/21/20,49
4/22/20,92
4/23/20,95
4/24/20,36
4/25/20,59
4/26/20,0
4/27/20,27
4/28/20,13
4/29/20,23
4/30/20,22
5/1/20,51
5/2/20,92
5/3/20,52
5/4/20,64
5/5/20,53
5/6/20,92
5/7/20,24
5/8/20,96
5/9/20,76
5/10/20,93
5/11/20,9
5/12/20,92
5/13/20,57
5/14/20,14
5/15/20,61
5/16/20,29
5/17/20,74
5/18/20,24
5/19/20,10
5/20/20,33
5/21/20,80
5/22/20,65
5/23/20,23
5/24/20,62
5/25/20,88
5/26/20,17
5/27/20,43
5/28/20,74
5/29/20,79
5/30/20,3
5/31/20,61
6/1/20,84
6/2/20,3
6/3/20,75
6/4/20,84
6/5/20,64
6/6/20,66
6/7/20,82
6/8/20,37
6/9/20,44
6/10/20,32
6/11/20,13
6/12/20,85
6/13/20,59
6/14/20,73
6/15/20,35
6/16/20,34
6/17/20,88
6/18/20,80
6/19/20,2
6/20/20,8
6/21/20,95
6/22/20,48
6/23/20,69
6/24/20,4
6/25/20,92
6/26/20,19
6/27/20,65
6/28/20,32
6/29/20,28
6/30/20,94
7/1/20,73
7/2/20,59
7/3/20,95
7/4/20,57
7/5/20,81
7/6/20,26
7/7/20,51
7/8/20,45
7/9/20,45
7/10/20,90
7/11/20,99
7/12/20,36
7/13/20,49
7/14/20,8
7/15/20,47
7/16/20,29
7/17/20,84
7/18/20,21
7/19/20,31
7/20/20,60
7/21/20,65
7/22/20,16
7/23/20,2
7/24/20,41
7/25/20,91
7/26/20,85
7/27/20,94
7/28/20,97
7/29/20,92
7/30/20,59
7/31/20,35
8/1/20,40
8/2/20,51
8/3/20,50
8/4/20,34
8/5/20,27
8/6/20,56
8/7/20,30
8/8/20,58
8/9/20,21
8/10/20,95
8/11/20,63
8/12/20,41
8/13/20,99
8/14/20,93
8/15/20,51
8/16/20,30
8/17/20,79
8/18/20,58
8/19/20,38
8/20/20,7
8/21/20,61
8/22/20,52
8/23/20,3
8/24/20,2
8/25/20,24
8/26/20,26
8/27/20,68
8/28/20,24
8/29/20,90
8/30/20,69
8/31/20,20
9/1/20,19
9/2/20,61
9/3/20,20
9/4/20,39
9/5/20,81
9/6/20,21
9/7/20,79
9/8/20,100
9/9/20,89
9/10/20,7
9/11/20,67
9/12/20,53
9/13/20,80
9/14/20,46
9/15/20,57
9/16/20,29
9/17/20,49
9/18/20,60
9/19/20,12
9/20/20,6
9/21/20,21
9/22/20,51
9/23/20,47
9/24/20,68
9/25/20,36
9/26/20,97
9/27/20,3
9/28/20,20
9/29/20,22
9/30/20,40
10/1/20,74
10/2/20,61
10/3/20,62
10/4/20,7
10/5/20,74
10/6/20,56
10/7/20,19
10/8/20,58
10/9/20,8
10/10/20,54
10/11/20,77
10/12/20,76
10/13/20,64
10/14/20,5
10/15/20,30
10/16/20,28
10/17/20,57
10/18/20,61
10/19/20,34
10/20/20,62
10/21/20,65
10/22/20,70
10/23/20,91
10/24/20,40
10/25/20,98
10/26/20,90
10/27/20,84
10/28/20,88
10/29/20,66
10/30/20,86
10/31/20,58
11/1/20,85
11/2/20,79
11/3/20,47
11/4/20,30
11/5/20,85
11/6/20,33
11/7/20,56
11/8/20,91
11/9/20,28
11/10/20,79
11/11/20,3
11/12/20,42
11/13/20,91
11/14/20,77
11/15/20,32
11/16/20,91
11/17/20,100
11/18/20,56
11/19/20,19
11/20/20,68
11/21/20,24
11/22/20,98
11/23/20,22
11/24/20,79
11/25/20,16
11/26/20,42
11/27/20,37
11/28/20,65
11/29/20,36
11/30/20,39
12/1/20,29
12/2/20,70
12/3/20,74
12/4/20,49
12/5/20,50
12/6/20,45
12/7/20,52
12/8/20,33
12/9/20,94
12/10/20,70
12/11/20,90
12/12/20,54
12/13/20,47
12/14/20,6
12/15/20,56
12/16/20,75
12/17/20,57
12/18/20,79
12/19/20,79
12/20/20,56
12/21/20,78
12/22/20,96
12/23/20,58
12/24/20,8
12/25/20,29
12/26/20,38
12/27/20,37
12/28/20,88
12/29/20,45
12/30/20,78
12/31/20,98
1/1/21,71
1/2/21,9
1/3/21,70
1/4/21,100
1/5/21,18
1/6/21,2
1/7/21,25
1/8/21,2
1/9/21,21
1/10/21,52
1/11/21,50
1/12/21,100
1/13/21,14
1/14/21,85
1/15/21,57
1/16/21,98
1/17/21,10
1/18/21,72
1/19/21,31
1/20/21,33
1/21/21,11
1/22/21,15
1/23/21,83
1/24/21,65
1/25/21,34
1/26/21,74
1/27/21,89
1/28/21,95
1/29/21,85
1/30/21,28
1/31/21,86
2/1/21,54
2/2/21,72
2/3/21,68
2/4/21,4
2/5/21,1
2/6/21,41
2/7/21,83
2/8/21,91
2/9/21,26
2/10/21,70
2/11/21,98
2/12/21,17
2/13/21,87
2/14/21,69
2/15/21,20
2/16/21,50
2/17/21,49
2/18/21,3
2/19/21,8
2/20/21,74
2/21/21,0
2/22/21,39
2/23/21,26
2/24/21,8
2/25/21,47
2/26/21,27
2/27/21,78
2/28/21,0